"","repeat_id","expt","analysis_type","true_base","b_base_lower","b_base_med","b_base_upper","b_base_error","true_sex","b_sex_p_value","b_sex_lower","b_sex_med","b_sex_upper","b_sex_error","true_cond","b_cond_p_value","b_cond_lower","b_cond_med","b_cond_upper","b_cond_error","true_sex_cond","b_sex_cond_p_value","b_sex_cond_lower","b_sex_cond_med","b_sex_cond_upper","b_sex_cond_error","pp_true","pb_true"
"153",1,33,"pp",0,0.444956108019625,0.499069932268323,0.551170022382909,0.0265330101498193,0,NA,-0.0639543687844253,-0.00234398957973605,0.0651947936150811,0.033550366821785,0,NA,-0.0366364502962778,0.021502267197283,0.0852464378641819,0.030805072488446,2,NA,0.346418256803399,0.365837798186618,0.384905607880618,0.00977107866938174,1,0
"154",1,34,"pp",0,0.466839347995518,0.524545305434837,0.581422993047732,0.0290482094785158,0,NA,-0.108197971045374,-0.0394761189230621,0.0267050801533072,0.0334573777657924,0,NA,-0.0564427801203222,0.00904737431183957,0.0757117873839241,0.03384732307972,2,NA,0.346939210144006,0.365806541353999,0.385308774269774,0.00968444300194522,1,0
"155",1,35,"pp",0,0.491295798242086,0.545854491459966,0.602867595958678,0.0287163468849385,0,NA,-0.0695316270951998,-0.00874038139875241,0.0507075220161303,0.0311677107303086,0,NA,-0.0914207255788183,-0.0259972337334399,0.0403587757517201,0.0334080112342914,2,NA,0.344124191037691,0.362722076441036,0.380870790113371,0.00931360699094694,1,0
"156",1,36,"pp",0,0.400980047761042,0.451245370340692,0.503638858957815,0.025804801784281,0,NA,-0.052053895415222,0.00604521384382054,0.0668560350176864,0.0310266100967563,0,NA,0.00758305929948392,0.0658850715729466,0.124817366146852,0.0297150376699114,2,NA,0.343394829148134,0.361779162185566,0.380149660184554,0.0092935610857179,1,0
"157",1,37,"pp",0,0.438888771218902,0.494293672925271,0.549525367722015,0.028382215020468,0,NA,-0.0693094288099978,-0.00573548384080796,0.0577085059012957,0.0320718349103548,0,NA,-0.0722567504199833,-0.00219278898776921,0.0661411046994694,0.0346992743059549,2,NA,0.343473190903883,0.36240298602004,0.381705658437508,0.00983672020231331,1,0
"158",1,38,"pp",0,0.45585538243833,0.504633708457581,0.553900665807994,0.0250836716023518,0,NA,-0.0532296415050376,0.00523081929324603,0.060200556128688,0.029484235764082,0,NA,-0.0634778102232547,-0.00743885594527205,0.0503704805577857,0.0294779188478738,2,NA,0.343247112338545,0.363494783352911,0.383837811362326,0.0101829460571494,1,0
"159",1,39,"pp",0,0.478028375691069,0.529862440023911,0.583421958665661,0.0269821650245106,0,NA,-0.0779109769449471,-0.0139704205866141,0.0436290910653263,0.0311645620427676,0,NA,-0.0810974359479626,-0.0193124233644417,0.0428403435596907,0.0316751706951647,2,NA,0.341495733027565,0.360528219316024,0.378894934764975,0.00955179929610921,1,0
"160",1,40,"pp",0,0.482654773657234,0.536250856901976,0.590212186996065,0.0272990861527357,0,NA,-0.0803918411004894,-0.0176906403643214,0.0410137511503188,0.0317753288422267,0,NA,-0.0900121395805161,-0.0298936325639061,0.032995377070326,0.031292552595227,2,NA,0.342738213056575,0.361615587794463,0.37960359321355,0.00933965076655267,1,0
"161",1,41,"pp",0,0.42633490397867,0.487262839506045,0.547429412732294,0.030721978161212,0,NA,-0.0595132385595958,0.00525529335574839,0.0682304014707239,0.0327311210808305,0,NA,-0.0426499377712141,0.020914955752496,0.0876348528587538,0.0329961584245202,2,NA,0.344697002533316,0.363347509043798,0.381815333905213,0.00922391005756383,1,0
"162",1,42,"pp",0,0.433918923378145,0.489989992343455,0.548171012785745,0.0286656094697094,0,NA,-0.0931830058018915,-0.0313763137965716,0.0332860573114201,0.031995648510852,0,NA,-0.0694321437129083,-0.0048645790342703,0.0580504751750647,0.0323917110356162,2,NA,0.346989333348921,0.364937893405725,0.382544150985457,0.0093082757934685,1,0
