"","X1","repeat_id","expt","analysis_type","true_base","b_base_lower","b_base_med","b_base_upper","b_base_error","true_sex","b_sex_p_value","b_sex_lower","b_sex_med","b_sex_upper","b_sex_error","true_cond","b_cond_p_value","b_cond_lower","b_cond_med","b_cond_upper","b_cond_error","true_sex_cond","b_sex_cond_p_value","b_sex_cond_lower","b_sex_cond_med","b_sex_cond_upper","b_sex_cond_error","pp_true","pb_true"
"38",38,1,38,"bglmm",0,0.388887472039954,0.453670790446468,0.517418817927859,0.0331828007703032,0,NA,-0.0567302501588206,0.042622209513784,0.136134251911466,0.0485598341092813,0,NA,-0.0241192171872628,0.0675280932230153,0.160824846072459,0.0471944609686054,0,NA,-0.246002674850259,-0.107521765542506,0.0221172262394787,0.068043894251848,0,0
"39",39,1,39,"bglmm",0,0.414589961815885,0.482335008940662,0.548301060102888,0.034375287770991,0,NA,-0.102313201388296,0.000701096630850599,0.0932227721297601,0.049709987403248,0,NA,-0.0522316485682049,0.0425226523843868,0.144337746337953,0.0500268518597562,0,NA,-0.106993382524198,0.0294825019437277,0.174556636769551,0.0697266186517198,0,0
"40",40,1,40,"bglmm",0,0.419415635787472,0.487721064005147,0.552785305275378,0.034368019766735,0,NA,-0.122367238680156,-0.022194922199064,0.0752563843089869,0.0506955718391758,0,NA,-0.0934860083144023,0.00260444949005743,0.0974022436857075,0.0490776498513586,0,NA,-0.117268344954356,0.0160119307866956,0.150395771942585,0.0700775497823193,0,0
"41",41,1,41,"bglmm",0,0.406736244994785,0.472596717052157,0.541701260876986,0.0360483070477816,0,NA,-0.0878188189226538,0.0187452894504838,0.114321338899734,0.0511772588337954,0,NA,-0.103397025141164,-0.00587564968644266,0.0891002998530463,0.0489672377092275,0,NA,-0.0826399409824404,0.0461890535148267,0.199078051156872,0.0707227683179509,0,0
"42",42,1,42,"bglmm",0,0.397017061510773,0.463464615790314,0.5393321552789,0.0369683564511294,0,NA,-0.0138277210236518,0.0945555265985416,0.214047367597072,0.0584988468998348,0,NA,-0.0846643922412975,0.0119837855184372,0.110719017994286,0.0524861693505349,0,NA,-0.252326684956376,-0.107428003620424,0.0433644566974714,0.0748283222813809,0,0
"43",43,1,43,"bglmm",0,0.367485722828216,0.441731137511455,0.512241965462446,0.0374737849737619,0,NA,-0.0166966256986493,0.0827804433024854,0.187932542088396,0.0525662973863333,0,NA,-0.0895844931243218,0.013728169162258,0.119268622472213,0.0541133827379671,0,NA,-0.164805113060882,-0.00677876352074055,0.139267317766694,0.0761809488608842,0,0
"44",44,1,44,"bglmm",0,0.388998395595814,0.453712676947741,0.517244555029386,0.0325660954587256,0,NA,-0.0369280639029381,0.0514268073523096,0.142455401653194,0.0451432824318557,0,NA,-0.0213620019030675,0.0646113397107643,0.151181017368603,0.0451166299358336,0,NA,-0.198162243084828,-0.0767452104339573,0.0485535833881349,0.063761393352396,0,0
"45",45,1,45,"bglmm",0,0.422160049591345,0.491400187126447,0.556933567817012,0.0351512033449047,0,NA,-0.103414020122999,-0.0133456122479539,0.086439082215544,0.0496091188593123,0,NA,-0.0621244856659171,0.0371475860322684,0.131362677845218,0.0481140373682062,0,NA,-0.137044610936148,-0.00610492347952595,0.124714479915194,0.0670532331147226,0,0
"46",46,1,46,"bglmm",0,0.426767479183982,0.480074237299652,0.532613880689975,0.0270685338364702,0,NA,-0.0716828365335272,0.0051701415328227,0.0815027742310734,0.0387057162023649,0,NA,-0.104722916004209,-0.025712998325313,0.0449177765176868,0.0385786191858517,0,NA,-0.0899541612529328,0.0121372395662486,0.122884606683081,0.0531907026451213,0,0
"47",47,1,47,"bglmm",0,0.468735232461478,0.522521902056586,0.574953878303291,0.0275271413865631,0,NA,-0.113763963867562,-0.0369314617289986,0.0340448318152196,0.0352551200622318,0,NA,-0.167268041884491,-0.0915245503453641,-0.0065040517329458,0.0389655305267668,0,NA,-0.0255253797980392,0.0756433725615882,0.180401396133017,0.050955386582485,0,0
